89	13	qc	NOT_STARTED	\N	\N	\N	2026-04-08 09:48:44.368+00	2026-04-08 09:48:44.368+00
90	13	warehouse	NOT_STARTED	\N	\N	\N	2026-04-08 09:48:44.37+00	2026-04-08 09:48:44.37+00
91	13	shipping	NOT_STARTED	\N	\N	\N	2026-04-08 09:48:44.371+00	2026-04-08 09:48:44.371+00
92	14	procurement	IN_PROGRESS	2026-04-08 10:01:47.573+00	\N	\N	2026-04-08 10:01:47.573+00	2026-04-08 10:01:47.573+00
93	14	planning	NOT_STARTED	\N	\N	\N	2026-04-08 10:01:47.575+00	2026-04-08 10:01:47.575+00
94	14	cutting	NOT_STARTED	\N	\N	\N	2026-04-08 10:01:47.577+00	2026-04-08 10:01:47.577+00
95	14	sewing	NOT_STARTED	\N	\N	\N	2026-04-08 10:01:47.578+00	2026-04-08 10:01:47.578+00
96	14	qc	NOT_STARTED	\N	\N	\N	2026-04-08 10:01:47.579+00	2026-04-08 10:01:47.579+00
97	14	warehouse	NOT_STARTED	\N	\N	\N	2026-04-08 10:01:47.581+00	2026-04-08 10:01:47.581+00
98	14	shipping	NOT_STARTED	\N	\N	\N	2026-04-08 10:01:47.582+00	2026-04-08 10:01:47.582+00
99	15	procurement	IN_PROGRESS	2026-04-08 10:08:02.285+00	\N	\N	2026-04-08 10:08:02.285+00	2026-04-08 10:08:02.285+00
100	15	planning	NOT_STARTED	\N	\N	\N	2026-04-08 10:08:02.35+00	2026-04-08 10:08:02.35+00
101	15	cutting	NOT_STARTED	\N	\N	\N	2026-04-08 10:08:02.353+00	2026-04-08 10:08:02.353+00
102	15	sewing	NOT_STARTED	\N	\N	\N	2026-04-08 10:08:02.355+00	2026-04-08 10:08:02.355+00
103	15	qc	NOT_STARTED	\N	\N	\N	2026-04-08 10:08:02.356+00	2026-04-08 10:08:02.356+00
104	15	warehouse	NOT_STARTED	\N	\N	\N	2026-04-08 10:08:02.358+00	2026-04-08 10:08:02.358+00
105	15	shipping	NOT_STARTED	\N	\N	\N	2026-04-08 10:08:02.359+00	2026-04-08 10:08:02.359+00
106	16	procurement	IN_PROGRESS	2026-04-08 10:14:02.07+00	\N	\N	2026-04-08 10:14:02.07+00	2026-04-08 10:14:02.07+00
107	16	planning	NOT_STARTED	\N	\N	\N	2026-04-08 10:14:02.071+00	2026-04-08 10:14:02.071+00
108	16	cutting	NOT_STARTED	\N	\N	\N	2026-04-08 10:14:02.072+00	2026-04-08 10:14:02.072+00
109	16	sewing	NOT_STARTED	\N	\N	\N	2026-04-08 10:14:02.073+00	2026-04-08 10:14:02.073+00
110	16	qc	NOT_STARTED	\N	\N	\N	2026-04-08 10:14:02.075+00	2026-04-08 10:14:02.075+00
111	16	warehouse	NOT_STARTED	\N	\N	\N	2026-04-08 10:14:02.076+00	2026-04-08 10:14:02.076+00
112	16	shipping	NOT_STARTED	\N	\N	\N	2026-04-08 10:14:02.077+00	2026-04-08 10:14:02.077+00
113	17	procurement	IN_PROGRESS	2026-04-08 10:44:33.555+00	\N	\N	2026-04-08 10:44:33.555+00	2026-04-08 10:44:33.555+00
114	17	planning	NOT_STARTED	\N	\N	\N	2026-04-08 10:44:33.556+00	2026-04-08 10:44:33.556+00
115	17	cutting	NOT_STARTED	\N	\N	\N	2026-04-08 10:44:33.559+00	2026-04-08 10:44:33.559+00
116	17	sewing	NOT_STARTED	\N	\N	\N	2026-04-08 10:44:33.56+00	2026-04-08 10:44:33.56+00
117	17	qc	NOT_STARTED	\N	\N	\N	2026-04-08 10:44:33.562+00	2026-04-08 10:44:33.562+00
118	17	warehouse	NOT_STARTED	\N	\N	\N	2026-04-08 10:44:33.563+00	2026-04-08 10:44:33.563+00
119	17	shipping	NOT_STARTED	\N	\N	\N	2026-04-08 10:44:33.564+00	2026-04-08 10:44:33.564+00
120	18	procurement	IN_PROGRESS	2026-04-08 10:47:52.153+00	\N	\N	2026-04-08 10:47:52.154+00	2026-04-08 10:47:52.154+00
121	18	planning	NOT_STARTED	\N	\N	\N	2026-04-08 10:47:52.156+00	2026-04-08 10:47:52.156+00
122	18	cutting	NOT_STARTED	\N	\N	\N	2026-04-08 10:47:52.246+00	2026-04-08 10:47:52.246+00
123	18	sewing	NOT_STARTED	\N	\N	\N	2026-04-08 10:47:52.247+00	2026-04-08 10:47:52.247+00
124	18	qc	NOT_STARTED	\N	\N	\N	2026-04-08 10:47:52.248+00	2026-04-08 10:47:52.248+00
125	18	warehouse	NOT_STARTED	\N	\N	\N	2026-04-08 10:47:52.249+00	2026-04-08 10:47:52.249+00
126	18	shipping	NOT_STARTED	\N	\N	\N	2026-04-08 10:47:52.25+00	2026-04-08 10:47:52.25+00
